Chemical Formula;Molecular Weight (monoisotopic);Generic Name;CAS Number
C2H6OS;78,013936; Dimethyl sulfoxide;67-68-5
C2H6OS;78,013936; Beta-Mercaptoethanol;60-24-2
CH4O2P;78,994891; Methylphosphonic Acid Ester Group;
CH5O2P;80,002716; Methylphosphinic Acid;4206-94-4
C5H6N;80,050024; 5-Methylpyrrole;616-43-3
C4H5N2;81,045273; 4-Methylimidazole;
C4H6N2;82,053098; Fomepizole;7554-65-6
C4H7N2;83,060923; 1-Methylimidazole;616-47-7
C5H9N;83,073499; N-Butyl Isocyanide;2769-64-4
CHNaO3;83,982339; Sodium bicarbonate;144-55-8
C6H12;84,093900; Cyclohexane;110-82-7
C4H7NO;85,052764; Acetone Cyanohydrin;75-86-5
C8H14N2O4Pt;85,820000; Oxaliplatin;61825-94-3
C4H6O2;86,036779; Butenoic Acid;107-93-7
C4H6O2;86,036779; 4-Butyrolactone;187997-16-6
C3H6N2O;86,048013; 2-Aminoprop-2-Enamide;
C5H10O;86,073165; Pentanal;110-62-3
C5H10O;86,073165; Tetrahydropyran;142-68-7
C4H10N2;86,084398; Piperazine;110-85-0
C6H14;86,109550; Hexane;110-54-3
C3H5NO2;87,032028; 2,3-Didehydroalanine;1948-56-7
C3H5NO2;87,032028; Pyruvamide;
C3H5NO2;87,032028; 2-Iminiopropanoate;
C4H9NO;87,068414; Butyramide;541-35-5
C5H13N;87,104799; Amylamine;110-58-7
C3H4O3;88,016044; Pyruvic acid;127-17-3
C2H5BO3;88,033174; 1,3,2-Dioxaborolan-2-Ol;
C4H8O2;88,052430; Isobutyric Acid;79-31-2
C4H8O2;88,052430; S,3-Hydroxybutan-2-One;513-86-0
C4H8O2;88,052430; 1,4-Diethylene Dioxide;
C4H8O2;88,052430; Butanoic Acid;107-92-6
C4H8O2;88,052430; 4-Hydroxy-2-Butanone;
C4H8O2;88,052430; R,3-Hydroxybutan-2-One;
C5H12O;88,088815; 1-Hydroxy-3-Methylbutane;
C4H12N2;88,100048; Putrescine;110-60-1
C2H3NO3;89,011293; Oxamic Acid;471-47-6
C3H7NO2;89,047678; L-Alanine;56-41-7
C3H7NO2;89,047678; D-Alanine;338-69-2
C3H7NO2;89,047678; Beta-Alanine;107-95-9
C3H7NO2;89,047678; Ethyl carbamate;51-79-6
C2H2O4;89,995309; Oxalic Acid;144-62-7
C3H6O3;90,031694; Dihydroxyacetone;96-26-4
C3H6O3;90,031694; (2r)-2,3-Dihydroxypropanal;367-47-5
C3H6O3;90,031694; D-Lactic Acid;10326-41-7
C3H6O3;90,031694; 3-Hydroxy-Propanoic Acid;
C3H6O3;90,031694; Lactic Acid;50-21-5
C4H10O2;90,068080; 1,2-Dimethoxyethane;110-71-4
C4H10O2;90,068080; 1,4-Butanediol;110-63-4
C4H10O2;90,068080; 1,3-Butanediol;107-88-0
C4H10O2;90,068080; 2-Ethoxyethanol;110-80-5
C4H10O2;90,068080; (R,R)-2,3-Butanediol;24347-58-8
C4H12NO;90,091889; 4-Hydroxybutan-1-Aminium;
C30H28CoN4O4;90,120000; Co(Iii)-(Deuteroporphyrin Ix);
C2H5NO3;91,026943; (Aminooxy)Acetic Acid;2921-14-4
C3H8O3;92,047344; Glycerol;
C7H8;92,062600; Toluene;108-88-3
C6H7N;93,057849; 3-Methylpyridine;108-99-6
C6H7N;93,057849; Aniline;62-53-3
C6H6O;94,041865; Phenol;108-95-2
H2O4P;96,969070; Dihydrogenphosphate Ion;29505-79-1
C5H9N2;97,076573; 2,3-Dimethylimidazolium Ion;
FO3P;97,956909; Fluoro-Phosphite Ion;10163-15-2
C2H4Cl2;97,969006; Ethylene Dichloride;107-06-2
C6H10O;98,073165; Cyclohexanone;108-94-1
C5H10N2;98,084398; (3s)-2,3,4,5-Tetrahydropyridin-3-Amine;
ClO4;98,948511; Perchlorate Ion;
C4H5NO2;99,032028; L-2-amino-3-butynoic acid;73537-09-4
C2H3F3O;100,013599; Trifluoroethanol;
C5H8O2;100,052430; Pentanedial;
C6H12O;100,088815; Cyclohexanol;108-93-0
C5H12N2;100,100048; (2s)-Pyrrolidin-2-Ylmethylamine;
C6H14N;100,112624; Cyclohexylammonium Ion;
C4H7NO2;101,047678; 2-Ammoniobut-3-Enoate, 2-Amino-3-Butenoate;
C4H7NO2;101,047678; 1-Aminocyclopropanecarboxylic Acid;22059-21-8
C4H7NO2;101,047678; Homoserine Lactone;1192-20-7
C4H7NO2;101,047678; Vinylglycine;52773-87-2
C4H7NO2;101,047678; Z-Dehydrobutyrine;
C4H7NO2;101,047678; N-Methyl-Alpha-Beta-Dehydroalanine;
C6H15N;101,120449; Leucine - Reduced Carbonyl;
C3H2O4;101,995309; Malonate Ion;141-82-2
C3H6N2S;102,025169; 2-Aminothiazoline;1779-81-3
C4H6O3;102,031694; Acetoacetic Acid;541-50-4
C4H6O3;102,031694; 2-Oxobutanoic Acid;600-18-0
C3H6N2O2;102,042927; Cycloserine;68-41-7
C4H8NO2;102,055504; Beta-Amino Isobutyrate;
C5H10O2;102,068080; Propyl Acetate;109-60-4
C5H10O2;102,068080; N-Valeric Acid;109-52-4
C5H10O2;102,068080; Tert-Butyloxycarbonyl Group;
C5H10O2;102,068080; 2-Methylbutanoic Acid;
C5H10O2;102,068080; Isovaleric Acid;503-74-2
C4H11BO2;102,085210; 1-Butane Boronic Acid;
C5H14Si;102,086477; Ethyl-Trimethyl-Silane;3439-38-1
C5H12NO;102,091889; [Formylmethyl]Trimethyl-Ammonium, N,N,N-Trimethylammonium Acetaldehyde;
C5H14N2;102,115698; Pentane-1,5-Diamine;
C25H27N4O4S;102,180000; 1-Acetyl-4-(4-{4-[(2-Ethoxyphenyl)Thio]-3-Nitrophenyl}Pyridin-2-Yl)Piperazine;
C3H5NO3;103,026943; 3-Amino-3-Oxopropanoic Acid;2345-56-4
C4H7O3;103,039519; Gamma Hydroxybutyric Acid;591-81-1
C4H9NO2;103,063329; Dimethylglycine;1118-68-9
C4H9NO2;103,063329; Gamma(Amino)-Butyric Acid;
C4H9NO2;103,063329; Methyl-Carbamic Acid Ethyl Ester;
C4H9NO2;103,063329; Alpha-Aminoisobutyric Acid;
C4H9NO2;103,063329; Ethyl-Carbamic Acid Methyl Ester;
C4H9NO2;103,063329; Alpha-Aminobutyric Acid;
C5H13NO;103,099714; L-Valinol;2026-48-4
C3H4O4;104,010959; Malonic acid;141-82-2
C3H4O4;104,010959; 3-Hydroxypyruvic Acid;1113-60-6
C3H8N2S;104,040819; Ethylisothiourea;1071-37-0
C3H8N2S;104,040819; S-Ethylisothiourea;2986-20-1
C5H14NO;104,107539; Choline;62-49-7
C3H5O2S;105,001025; [Methylthio]Acetate;
C3H7NO3;105,042593; L-Serine;56-45-1
C3H7NO3;105,042593; D-Serine;312-84-5
C3H9N2O2;105,066403; 3-Amino-Alanine;
C4H11NO2;105,078979; Reduced Threonine;
C8H10;106,078250; Ethylbenzene;100-41-4
C8H10;106,078250; Ortho-Xylene;
C8H10;106,078250; Para-Xylene;
C7H9N;107,073499; Benzylamine;100-46-9
C34H36FeN4O5;107,190000; Fe-Mesopone;
C2H4O3S;107,988115; Vinylsulphonic Acid;
C3H8O2S;108,024500; Monothioglycerol;
C7H8O;108,057515; P-Cresol;106-44-5
C7H8O;108,057515; M-Cresol;108-39-4
C5H3NO2;109,016378; Pyrrole-2-Carboxylate;
C34H32N4O5Zn;109,020000; Zn(Ii)-(20-Oxo-Protoporphyrin Ix);
C6H7NO;109,052764; 2-Aminophenol;95-55-6
C6H7NO;109,052764; Pyridin-3-Ylmethanol;
CaCl2;109,900297; Calcium Chloride;14639-81-7
C2H6O3S;110,003765; Ethanesulfonic Acid;
C6H6O2;110,036779; 1,2-Dihydroxybenzene;120-80-9
C7H10O;110,073165; Norcamphor;
C5H5NS;111,014270; 2-Pyridinethiol;
C6H6FN;111,048427; 2-Fluoroaniline;348-54-9
C5H9N3;111,079647; Betazole;105-20-4
SSe;111,888593; Selenium Sulfide;7446-34-6
C3H6Cl2;111,984656; 1,2-Dichloro-Propane;78-87-5
C4H4N2O2;112,027277; Uracil;66-22-8
C3H6N5;112,062320; 1,2,4-Triazole-Carboxamidine;
C7H12O;112,088815; 2-Cyclopropylmethylenepropanal;
C5H7NO2;113,047678; 3,4-Dihydro-2h-Pyrrolium-5-Carboxylate;
C5H7NO2;113,047678; 5-Oxo-Pyrrolidine-2-Carbaldehyde;
C6H11NO;113,084064; N-Formylpiperidine;
C4H2O4;113,995309; Fumarate;110-17-8
C4H6N2S;114,025169; Methimazole;60-56-0
C5H6O3;114,031694; 2-Oxo-3-Pentenoic Acid;
C4H6N2O2;114,042927; 3,4-Dihydrouracil;
C4H6N2O2;114,042927; 3-Aminosuccinimide;
C4H6N2O2;114,042927; 4-Hydroxy-3,4-Dihydro-1h-Pyrimidin-2-One;
C7H16N;114,128275; Aminomethylcyclohexane;481430,00
C8H18;114,140851; N-Octane;111-65-9
H3O3Zn;114,937366; Zinc Trihydroxide;
C5H9NO2;115,063329; L-Proline;147-85-3
C5H9NO2;115,063329; D-Proline;344-25-2
C5H9NO2;115,063329; N-Methyldehydrobutyrine;
C6H13NO;115,099714; 1-Amino-1-Carbonyl Pentane;
C4H4O4;116,010959; Maleic Acid;110-16-7
C5H8O3;116,047344; Laevulinic Acid;123-76-2
C5H8O3;116,047344; Tetrahydrofuran-2-Carboxylic Acid;
C5H8O3;116,047344; Alpha-ketoisovalerate;759-05-7
C8H6N;116,050024; Indole;120-72-9
C9H8;116,062600; Indene;95-13-6
C6H12O2;116,083730; 4-Methyl Valeric Acid;
C6H16N2;116,131349; 1,6-Diaminohexane;
C4H7NO3;117,042593; Acetylamino-Acetic Acid;543-24-8
C4H7NO3;117,042593; 2-Amino-3-Ketobutyric Acid;
C7H5N2;117,045273; Benzimidazole;51-17-2
C3H7N3O2;117,053826; N-[Amino(Imino)Methyl]Glycine;
C5H11NO2;117,078979; L-Valine;72-18-4
C5H11NO2;117,078979; Amyl Nitrite;110-46-3
C5H11NO2;117,078979; N,N-Dimethyl-L-Alanine;
C5H11NO2;117,078979; 2-Amino-Pentanoic Acid;
C5H11NO2;117,078979; D-Isovaline;
C5H11NO2;117,078979; Norvaline;
C4H11N3O;117,090212; N-Isopropyl-N'-Hydroxyguanidine;
C3H2O5;117,990223; Alpha-Ketomalonic Acid;
C3H2O5;117,990223; Tartronate;
C4H6O4;118,026609; Succinic acid;110-15-6
C4H6O4;118,026609; Methylmalonic Acid;516-05-2
C8H6O;118,041865; Benzofuran;
C4H10N2S;118,056469; S-Isopropyl-Isothiourea;
C5H10O3;118,062994; 5-hydroxyvaleric acid;13392-69-3
C4H10N2O2;118,074228; 2,4-Diaminobutyric Acid;1758-80-1
C5H12NO2;118,086804; Delta-Amino Valeric Acid;
C5H12NO2;118,086804; Trimethyl Glycine;
C4H12N3O;118,098037; Guanidine-3-Propanol;
C6H14O2;118,099380; Hexane-1,6-Diol;629-11-8
C6H14O2;118,099380; (4r)-2-Methylpentane-2,4-Diol;
C3H5NO4;119,021858; Hadacidin;
C3H5NO4;119,021858; 2-Aminopropanedioic Acid;1068-84-4
C4H9NO3;119,058243; L-Threonine;72-19-5
C4H9NO3;119,058243; Beta-3-Serine;
C4H9NO3;119,058243; D-Threonine;632-20-2
C4H9NO3;119,058243; L-Homoserine;672-15-1
C5H13NO2;119,094629; (2s,3r)-1-Amino-2-Methylbutane-2,3-Diol;
MgO4S;119,936771; Magnesium Sulfate;7487-88-9
C3H8N2OS;120,035734; 2-Amino-3-Mercapto-Propionamide;
C8H8O;120,057515; Phenylacetaldehyde;122-78-1
C8H8O;120,057515; R-Styrene Oxide;
C8H8O;120,057515; ACETOPHENONE;
C5H14NS;120,084695; 2-(Trimethylammonium)Ethyl Thiol;
C3H7NO2S;121,019749; L-Cysteine;52-90-4
C3H7NO2S;121,019749; D-Cysteine;921-01-7
C6H7N3;121,063997; 4-Imino-5-Methidyl-2-Methylpyrimidine;
C7H9N2;121,076573; Benzamidine;618-39-3
C8H11N;121,089149; 2,5-Xylidine;95-78-3
C8H11N;121,089149; 3,4-Dimethylaniline;
C8H11N;121,089149; 2-Chloro-6-Methyl-Aniline;
C7H6O2;122,036779; P-Hydroxybenzaldehyde;123-08-0
C7H6O2;122,036779; Benzoic Acid;65-85-0
C6H6N2O;122,048013; Nicotinamide;98-92-0
C6H7BO2;122,053910; Phenyl Boronic Acid;
C4H10O4;122,057909; D-Treitol;
C4H10O4;122,057909; Meso-Erythritol;
C8H10O;122,073165; 2-Phenyl-Ethanol;60-12-8
C8H10O;122,073165; 3,4-Dimethylphenol;
C8H10O;122,073165; Methylphenyl carbinol;1517-69-7
C4H12NO3;122,081718; Tris-Hydroxymethyl-Methyl-Ammonium;
C4H12NO3;122,081718; Tris(Hydroxymethyl)Aminomethane;
C8H12N;122,096974; 2-Phenylethylamine;64-04-0
C3H6ClNO2;123,008706; 3-Chloroalaninate;
C6H5NO2;123,032028; Niacin;59-67-6
C5H5N3O;123,043262; Pyrazinamide;98-96-4
C7H9NO;123,068414; Isatoic Anhydride;
C7H9NO;123,068414; 2-Amino-P-Cresol;
C6H9N3;123,079647; 2,5-Dimethylpyrimidin-4-Amine;
C2H5O4P;123,992545; Phosphonoacetaldehyde;
C3H8OS2;124,001656; Methyl Methylsulfinylmethyl Sulfide;33577-16-1
C3H8OS2;124,001656; Dimercaprol;59-52-9
C5H13BNO5S;124,010000; S-2-(Boronoethyl)-L-Cysteine;
C3H8O3S;124,019415; 1-Hydroxy-1-Thio-Glycerol;
C3H9O3P;124,028931; Monoisopropyl Ester Phosphonic Acid Group;
C7H8O2;124,052430; 3-Methyl-Benzene-1,2-Diol;488-17-5
C7H8O2;124,052430; 4-Methyl-1,2-Benzenediol;452-86-8
C2H7NO3S;125,014664; 2-Aminoethanesulfonic Acid;107-35-7
C6H7NS;125,029920; 3-(Mercaptomethylene)Pyridine;
C6H7NO2;125,047678; N-Ethylmaleimide;128-53-0
C5H7N3O;125,058912; 1-Methylcytosine;
C7H8FN;125,064077; 3-Fluoro-2-Methyl-Aniline;
AsH3O3;125,929815; Trihydroxyarsenite(Iii);
CH3O3PS;125,954051; Mercaptomethyl Phosphonate;
CH3O5P;125,971810; Foscarnet;63585-09-1
C2H7O4P;126,008195; Ethyl Dihydrogen Phosphate;
C5H6N2O2;126,042927; Thymine;65-71-4
C5H8N3O;126,066737; 3-Methylcytosine;
C7H9FN;126,071902; 4-Fluorobenzylamine;
C4H5N3O2;127,038176; 5-Amino-1h-Pyrimidine-2,4-Dione;
C6H9NO2;127,063329; 1-Ethyl-Pyrrolidine-2,5-Dione;
C6H9NO2;127,063329; 4-Methyl-Pyrroline-5-Carboxylic Acid;
C7H13NO;127,099714; Cyclohexylformamide;
C7H13NO;127,099714; 1-Methyl-2-Oxy-5,5-Dimethyl Pyrrolidine;
C2H2Cl2O2;127,943185; Dichloroacetic Acid;79-43-6
C6H5ClO;128,002892; 3-Chlorophenol;108-43-0
C6H5ClO;128,002892; 2-Chlorophenol;
C6H12N2O;128,094963; 4-Methylpiperazin-1-Yl Carbonyl Group;
C8H16O;128,120115; 1-Octen-3-Ol;
C4H3NO2S;128,988449; 1,3-Thiazole-4-Carboxylic Acid;
C4H3NO4;129,006208; 3-Hydroxyisoxazole-4-Carboxylic Acid;
C4H4ClN3;129,009375; 2-Amino-6-Chloropyrazine;
C4H4FN3O;129,033840; Flucytosine;2022-85-7
C6H5F2N;129,039006; 3,5-Difluoroaniline;
C5H7NO3;129,042593; Pyroglutamic Acid;98-79-3
C9H7N;129,057849; Isoquinoline;119-65-3
C6H11NO2;129,078979; Vigabatrin;60643-86-9
C6H11NO2;129,078979; (4e)-4-Aminohex-4-Enoic Acid;
C6H11NO2;129,078979; Cycloleucine;52-52-8
C4H11N5;129,101445; Metformin;657-24-9
C7H15NO;129,115364; Heptanamide;628-62-6
C3H2N2O4;130,001457; 4-Hydroxy-1,2,5-Oxadiazole-3-Carboxylic Acid;
C4H3FN2O2;130,017856; Fluorouracil;51-21-8
C5H6O4;130,026609; Citraconic acid;498-23-7
C6H10O3;130,062994; 2-Oxo-4-Methylpentanoic Acid;
C7H14O2;130,099380; Heptanoic Acid;
C6H14N2O;130,110613; N-Aminoethylmorpholine;
C4H3O5;130,998048; Oxaloacetate Ion;
C5H9NO3;131,058243; Aminolevulinic acid;106-60-5
C5H9NO3;131,058243; N-Acetylalanine;97-69-8
C5H9NO3;131,058243; 3-Oxiran-2ylalanine;
C5H9NO3;131,058243; L-2-Amino-4-Methoxy-Cis-but-3-Enoic Acid;
C5H9NO3;131,058243; 4-Carboxy-4-Aminobutanal;
C4H9N3O2;131,069477; Creatine;57-00-1
C6H13NO2;131,094629; L-Leucine;61-90-5
C6H13NO2;131,094629; L-Isoleucine;73-32-5
C6H13NO2;131,094629; Aminocaproic Acid;60-32-2
C6H13NO2;131,094629; Allo-Isoleucine;
C6H13NO2;131,094629; D-Leucine;328-38-1
C6H13NO2;131,094629; 6-Amino Hexanoic Acid;
C6H13NO2;131,094629; 4-Amino Hexanoic Acid;
C6H13NO2;131,094629; Norleucine;
C5H13N3O;131,105862; N-Butyl-N'-Hydroxyguanidine;
C4H4O5;132,005873; Malate Like Intermediate;
C4H6NO4;132,029683; L-Iso-Aspartate;
C4H5FN2O2;132,033506; 5-Fluoro-4-(S)-Hydroxy-3,4-Dihydropyrimidine;
C5H8O4;132,042259; Glutaric Acid;110-94-1
C4H8N2O3;132,053492; L-Asparagine;70-47-3
C4H8N2O3;132,053492; D-Asparagine;2058-58-4
C4H8N2O3;132,053492; N-Carbamoyl-Alanine;
C5H10NO3;132,066068; Glutamyl Group;
C8H8N2;132,068748; 5-methylbenzimidazole;614-97-1
C6H12O3;132,078644; 2,3-Dideoxyfucose;
C5H12N2O2;132,089878; L-Ornithine;70-26-8
C5H12N2O2;132,089878; Hydroxyaminovaline;
C4H5O5;133,013698; Malate Ion;
C4H7NO2S;133,019749; Thioproline;2756-91-4
C4H7NO4;133,037508; L-Aspartic Acid;56-84-8
C4H7NO4;133,037508; D-Aspartic Acid;1783-96-6
C6H5N4;133,051421; 9-Deazaadenine;
C8H7NO;133,052764; (S)-HYDROXY(PHENYL)ACETONITRILE;
C7H7N3;133,063997; ZK-800270;
C5H11NO3;133,073893; 5-Hydroxy Norvaline;
C5H11NO3;133,073893; 2-Hydroxymethyl-Pyrrolidine-3,4-Diol;
C4H11N3O2;133,085127; (Diaminomethyl-Methyl-Amino)-Acetic Acid;
C9H11N;133,089149; Tranylcypromine;155-09-9
C9H11N;133,089149; N-Allyl-Aniline;
C4H13N4O;133,108936; Descarboxy-nor-N(Omega)-Hydroxy-L-Arginine;
C6H4N3O;134,035437; 9-Deazahypoxanthine;
C5H7FO3;134,037922; 5-Fluorolevulinic Acid;76385-49-4
C6H6N4;134,059246; 6-Methylpurine;38053,00
C4H10N2O3;134,069142; Canaline;496-93-5
C9H10O;134,073165; 2-Allylphenol;1745-81-9
C6H14O3;134,094294; 2-Methylpentane-1,2,4-Triol;
C6H14O3;134,094294; 1-Methoxy-2-(2-Methoxyethoxy)Ethane;
C9H12N;134,096974; Trans-2-Phenylcyclopropylamine;
C10H14;134,109550; N-Butylbenzene;104-51-8
C10H14;134,109550; Isobutylbenzene;
C3H5NO5;135,016772; (Carboxyhydroxyamino)Ethanoic Acid;
C5H3N4O;135,030686; Hypoxanthine;68-94-0
C4H9NO2S;135,035399; S-Methylcysteine;1187-84-4
C4H9NO2S;135,035399; Beta-3-Cysteine;
C4H9NO2S;135,035399; 2-Amino-4-Mercapto-Butyric Acid;
C5H5N5;135,054495; Adenine;73-24-5
C8H9NO;135,068414; N-Benzylformamide;6343-54-0
C9H13N;135,104799; Amphetamine;300-62-9
C9H13N;135,104799; Dextroamphetamine;51-64-9
C9H13N;135,104799; Para-Isopropylaniline;
C9H13N;135,104799; 2-Propyl-Aniline;
C3H5BrO;135,952377; 2-Bromo-2-Propene-1-Ol;
C3H6NO3S;136,006839; S-Oxy Cysteine;
C3H7NO3P;136,016355; 1-Aminocyclopropylphosphonate;
C5H4N4O;136,038511; Allopurinol;315-30-0
C5H4N4O;136,038511; 3h-Pyrazolo[4,3-D]Pyrimidin-7-Ol;
C8H8O2;136,052430; Formic Acid Benzyl Ester;
C8H12N2;136,100048; Phenelzine;51-71-8
C8H12N2;136,100048; 4,5-Dimethyl-1,2-Phenylenediamine;
C8H12N2;136,100048; Betahistine;5638-76-6
C9H14N;136,112624; 3-Phenylpropylamine;
C10H16;136,125201; Adamantane;
C3H7NO3S;137,014664; S-Hydroxycysteine;
C2H8AlNO4;137,026871; Dihydroxyaluminium;13682-92-3
C6H5N2O2;137,035102; (2e)-3-(1h-Imidazol-4-Yl)Acrylic Acid;104-98-3
C7H7NO2;137,047678; Benzhydroxamic Acid;495-18-1
C7H7NO2;137,047678; Gabaculine;87980-11-8
C7H7NO2;137,047678; 4-Aminobenzoic Acid;150-13-0
C7H7NO2;137,047678; 6-Aminobenzoic Acid;
C7H7NO2;137,047678; 2-Aminobenzoic Acid;
C7H7NO2;137,047678; Salicylamide;65-45-2
C6H7N3O;137,058912; Isoniazid;54-85-3
C6H8BNO2;137,064809; M-Aminophenylboronic Acid;
C7H9N2O;137,071488; Pralidoxime;6735-59-7
C2H3BrO2;137,931642; 2-Bromoacetyl Group;79-08-3
C2H7AsO2;137,966201; Hydroxydimethylarsine Oxide;
C3H7BrO;137,968027; 1-Bromopropane-2-Ol;
C3H7O4P;138,008195; Fosfomycin;23155-02-4
C7H6O3;138,031694; Salicyclic acid;69-72-7
C7H6O3;138,031694; P-Hydroxybenzoic Acid;
C4H11O3P;138,044581; Diethylphosphono Group;
C4H11O3P;138,044581; Butylphosphonate;
C6H10N4;138,090546; 5-(Aminomethyl)-2-Methylpyrimidin-4-Amine;
C10H18;138,140851; Camphane;464-15-3
C2H6NO4P;139,003444; 2-Amino-Vinyl-Phosphate;
C6H5NO3;139,026943; P-Nitrophenol;100-02-7
C6H9N3O;139,074562; 4-Amino-5-Hydroxymethyl-2-Methylpyrimidine;73-67-6
C6H9N3O;139,074562; Histidinol;
C8H13NO;139,099714; Tropinone;532-24-1
C9H17N;139,136100; (4r)-7aza-7,8-Dihydrolimonene;
C9H17N;139,136100; (1r,4s)-2-Azabornane;
C2H5O5P;139,987460; Phosphonoacetic Acid;4408-78-0
C2H5O5P;139,987460; Acetylphosphate;
C3H9O4P;140,023845; Phosphorylisopropane;
C8H9FO;140,063743; 4-Fluorophenethyl Alcohol;
C7H11NS;141,061220; 2-(Sec-Butyl)Thiazole;
C7H11NO2;141,078979; Ethosuximide;77-67-8
C8H15NO;141,115364; (3r)-1-Acetyl-3-Methylpiperidine;
C8H15NO;141,115364; Pseudotropine;135-97-7
C9H19N;141,151750; Isometheptene;503-01-5
C2H7O3PS;141,985351; DIMETHYL THIOPHOSPHATE;
C6H6O2S;142,008850; Benzenesulfonyl;
C6H6O4;142,026609; 5-Hydroxy-2-(Hydroxymethyl)-4h-Pyran-4-One;501-30-4
C4H6N4O2;142,049075; 2,4-Diamino-4,6-Dihydroxypyrimidine;
C4H6N4O2;142,049075; Glycoluril;
C4H6N4O2;142,049075; 5,6-Diaminouracil;
C10H22;142,172151; Decane;124-18-5
C3H4F3NO2;143,019413; Trifluoroalanine;
C6H9NOS;143,040485; 4-Methyl-5-Hydroxyethylthiazole;
C6H9NO3;143,058243; Trimethadione;127-48-0
C9H7N2;143,060923; 4-Phenyl-1h-Imidazole;
C8H17NO;143,131014; (R)-N-(1-Methyl-Hexyl)-Formamide;
C8H17NO;143,131014; N-Heptylformamide;
C8H17NO;143,131014; Valpromide;
C7H9ClO;144,034193; Ethchlorvynol;113-18-8
C7H6F2O;144,038671; 2,3-Difluorobenzyl Alcohol;
C7H6F2O;144,038671; 2,4-Difluorobenzyl Alcohol 2,4-Difluoro-1-(Hydroxymethyl)Benzene;
C9H8N2;144,068748; 5-Aminoisoquinoline;1125-60-6
C6H12N2O2;144,089878; 5-Amino-3-Methyl-Pyrrolidine-2-Carboxylic Acid;
C7H14NO2;144,102454; Proline Betaine;
C8H16O2;144,115030; Valproic Acid;99-66-1
C8H16O2;144,115030; 6-Hydroxy-6-Methyl-Heptan-3-One;
C8H16O2;144,115030; Caprylic acid;124-07-2
C7H16N2O;144,126263; 2-Amino-N,3,3-Trimethylbutanamide;
C9H20O;144,151415; Nonan-1-Ol;28473-21-4
C8H20N2;144,162649; Octamethylenediamine;373-44-4
